සබ්	E	sub	
බ්ලොග්	E	blog	
ෆිල්ම්	E	film	
බස්	N	bus	
කමෙන්ට්	E	comment	
ඉන්දියාවේ	P	India	වේ
පොලිස්	N	police	
බයිස්කෝප්	N	bioscope	
සිනමා	N	cinema	
පොලිසිය	N	police	ිය
සෙට්	E	set	
වෙබ්	E	web	
ක්‍රිකට්	N	cricket	
දෙපාර්තමේන්තුව	N	department	ුව
ඉන්දියාව	P	India	ව
පොලිසියට	N	police	ියට
ටෙලි	N	tele	
ඇනෝ	E	anon	
ඉන්දියානු	P	India	නු
සර්	N	sir	
පෝස්ට්	E	post	
කාර්	N	car	
මෝටර්	N	motor	
වීඩියෝ	E	video	
කොපි	E	copy	
කොමෙන්ට්	E	comment	
ඇමරිකාවේ	P	America	වේ
සයිට්	E	site	
තෑන්ක්ස්	E	thanks	
ආසියාවේ	P	Asia	වේ
මිලියන	N	million	
ඉස්කෝලෙ	N	school	ෙ
පොලීසිය	N	police	ිය
ඉස්කෝලේ	N	school	ේ
චීන	P	Chinese	
බැංකු	N	bank	ු
ඩොලර්	N	dollar	
‍පොලිස්	N	police	
පාර්ලිමේන්තු	N	parliament	ු
කැම්පස්	E	campus	
අරාබි	P	Arab	
යුරෝපීය	P	European	
ඔෆිස්	E	office	
ඉන්දියාවෙන්	P	India	වෙන්
සීන්	E	scene	
එංගලන්තයේ	P	England	යේ
රබර්	N	rubber	
කොපියක්	E	copy	යක්
ලින්ක්	E	link	
ඇමරිකාව	P	America	ව
ඇමෙරිකානු	P	American	
ඇමෙරිකාව	P	America	ව
ඇමරිකානු	P	American	
ඉන්දියාවට	P	India	වට
වෑන්	N	van	
සිවිල්	N	civil	
චීනය	P	China	ය
ඇමරිකාවට	P	America	වට
කේස්	E	case	
අංකල්	E	uncle	
බෝම්බ	N	bomb	
ෆේස්බුක්	P	Facebook	
ආසියානු	P	Asian	
අයිස්	N	ice	
යුරෝපයේ	P	Europe	යේ
ෆොටෝ	E	photo	
ඇපල්	N	apple	
මීටර්	N	meter	
රේඩියෝ	N	radio	
බෑග්	E	bag	
ගූගල්	P	Google	
දිස්ත්‍රික්	N	district	
කැසිනෝ	E	casino	
ජීප්	N	jeep	
සෑම්	P	Sam	
හෝටල්	N	hotel	
ජොබ්	E	job	
ලිස්ට්	E	list	
පොලිසියේ	N	police	ියේ
ඇනකොන්ඩා	E	anaconda	
කෝල්	E	call	
කොමිසම	N	commission	
තැන්ක්ස්	E	thanks	
බ්‍රිතාන්‍ය	P	British	
ඉන්දියාවෙ	P	India	වෙ
තායිලන්තයේ	P	Thailand	යේ
පොලිසියෙන්	N	police	ියෙන්
කැබිනට්	N	cabinet	
දෙපාර්තමේන්තුවේ	N	department	ුවේ
ෆෝන්	E	phone	
ටයිප්	E	type	
යුරෝපා	P	Europe	
ආසියාතික	P	Asiatic	
මෙගා	E	mega	
ප්‍රොෆයිල්	E	profile	
ඉංග්‍රීසියෙන්	P	English	යෙන්
කිලෝ	N	kilo	
ඉංග්‍රිසි	P	English	
ඩෙංගු	N	dengue	
ගේට්ටුව	N	gate	ටුව
බිලියන	N	billion	
රුසියාව	P	Russia	ව
කාඩ්	N	card	
ටොරන්ට්	E	torrent	
‍ෆිල්ම්	E	film	
කේක්	N	cake	
කොමිෂන්	N	commission	
මැජික්	E	magic	
ට්‍රයි	E	try	
දිස්ත්‍රික්කයේ	N	district	කයේ
ඉන්දියන්	P	Indian	
බැංකුවේ	N	bank	ුවේ
සිනමාව	N	cinema	ව
මිස්	E	miss	
රැග්	E	rag	
ඇමෙරිකාවට	P	America	වට
කැසට්	N	cassette	
ඉරානය	P	Iran	ය
ගේම	E	game	
පොලීසියට	N	police	ියට
හවුස්	E	house	
ඉන්දියා	P	India	
පාස්	E	pass	
ඉතාලියේ	P	Italy	යේ
ආසනික්	N	arsenic	
ගේමක්	E	game	ක්
ටියුෂන්	E	tuition	
ඒබ්‍රහම්	P	Abraham	
ප්ලෑන්	E	plan	
බිල්	N	bill	
රෝම	P	Rome	
ජුනි	N	June	
ඉතාලි	P	Italy	
තායි	P	Thai	
කොරල්	N	coral	
අප්‍රිකානු	P	African	ු
නිවුස්	E	news	
ප්‍රංශ	P	France	
ටීවී	E	TV	
අයින්ස්ටයින්	P	Einstein	
මැන්ඩෙලා	P	Mandela	
අප්‍රිකාවේ	P	Africa	වේ
බිස්නස්	E	business	
අරාබියේ	P	Arabia	යේ
ජේ	E	J	
පාර්ලිමේන්තුවේ	N	parliament	ුවේ
ජී	E	G	
මොන්ටිසෝරි	N	Montessori	
බයිස්කොප්	N	bioscope	
හිට්ස්	E	hits	
‍පොලිසිය	N	police	ිය
කේ	E	K	
සිගරට්	N	cigarette	
නෝර්වේ	P	Norway	
මැෂින්	E	machine	
කමිටුව	N	committee	ුව
යුරෝපය	P	Europe	ය
කොරියාව	P	Korea	ව
මේල්	E	mail	
රිචඩ්	P	Richard	
අප්‍රේල්	N	April	
බෝල්	E	ball	
ඉස්කෝලෙට	N	school	ෙට
ටෙස්ට්	E	test	
කැමරා	N	camera	
ටොයිලට්	E	toilet	
ඊජිප්තුවේ	P	Egypt	ුවේ
එම්	E	M	
බුරුමයේ	P	Burma	යේ
තැන්කූ	E	thank you	
හිට්ලර්	P	Hitler	
ඇන්ටි	E	aunty	
කොරියානු	P	Korean	ු
ඉංගිරිසි	P	English	
සිනමාවේ	N	cinema	වේ
එංගලන්තේ	P	England	ේ
පාර්ලිමේන්තුව	N	parliament	ුව
